No;User_id;User_Name;Item_id;Item_name;Rating;PostDate;Bintang_Hotel
96;3166;jatiworo jatiworo;1;Eastparc Hotel Yogyakarta;5.0;04/03/2022;5
97;5160;RN;1;Eastparc Hotel Yogyakarta;5.0;28/02/2022;5
98;4494;Oke Fitrian Nurfiani;1;Eastparc Hotel Yogyakarta;4.0;27/02/2022;5
99;4244;Neti Sampurno;1;Eastparc Hotel Yogyakarta;5.0;25/02/2022;5
100;4378;NS;1;Eastparc Hotel Yogyakarta;5.0;25/02/2022;5
101;5629;ST;1;Eastparc Hotel Yogyakarta;3.8;24/02/2022;5
102;1760;DP;1;Eastparc Hotel Yogyakarta;5.0;24/02/2022;5
103;745;Arian Kusmayadi;1;Eastparc Hotel Yogyakarta;5.0;20/02/2022;5
104;851;Aspin Natalia Oktoviani;1;Eastparc Hotel Yogyakarta;5.0;19/02/2022;5
105;5176;Rochdiana Aprilita Rezeki;1;Eastparc Hotel Yogyakarta;5.0;14/02/2022;5
106;5200;Ronald Hariyanto;1;Eastparc Hotel Yogyakarta;5.0;13/02/2022;5
107;2885;Ignasius Putra Christanto;1;Eastparc Hotel Yogyakarta;5.0;08/02/2022;5
108;5400;Sem Giardi Ridwan;1;Eastparc Hotel Yogyakarta;5.0;02/02/2022;5
109;5275;RW;1;Eastparc Hotel Yogyakarta;5.0;02/02/2022;5
110;5381;SC;1;Eastparc Hotel Yogyakarta;4.8;28/01/2022;5
111;6427;Yonida danan puthu Wikarta;1;Eastparc Hotel Yogyakarta;5.0;24/01/2022;5
112;6297;WK;1;Eastparc Hotel Yogyakarta;5.0;15/01/2022;5
113;3954;MR;1;Eastparc Hotel Yogyakarta;5.0;14/01/2022;5
114;2732;Henry Indra Rukmana;1;Eastparc Hotel Yogyakarta;5.0;13/01/2022;5
115;1200;CC;1;Eastparc Hotel Yogyakarta;5.0;05/01/2022;5
116;1761;DR;1;Eastparc Hotel Yogyakarta;5.0;04/01/2022;5
117;1380;DD;1;Eastparc Hotel Yogyakarta;5.0;29/12/2021;5
118;1766;DT;1;Eastparc Hotel Yogyakarta;3.6;26/12/2021;5
119;989;Bagus Nurtjahjo;1;Eastparc Hotel Yogyakarta;3.2;19/12/2021;5
120;4902;Resty Ayu Verdyna;1;Eastparc Hotel Yogyakarta;4.2;19/12/2021;5
121;4256;Nicholas Budi Dharma;1;Eastparc Hotel Yogyakarta;4.4;14/12/2021;5
122;5233;RS;1;Eastparc Hotel Yogyakarta;5.0;11/12/2021;5
123;2751;Herlina Kusuma Dewi;1;Eastparc Hotel Yogyakarta;4.0;10/12/2021;5
124;3314;KE;1;Eastparc Hotel Yogyakarta;5.0;09/12/2021;5
125;994;Baharsyah Baharsyah;1;Eastparc Hotel Yogyakarta;4.0;08/12/2021;5
126;5028;Rima Yuniar;1;Eastparc Hotel Yogyakarta;4.6;06/12/2021;5
127;5157;RL;1;Eastparc Hotel Yogyakarta;5.0;04/12/2021;5
128;3615;Lupi Hernawati;1;Eastparc Hotel Yogyakarta;4.0;03/12/2021;5
129;4899;Resti Delia Saputri;1;Eastparc Hotel Yogyakarta;5.0;03/12/2021;5
130;4719;RA;1;Eastparc Hotel Yogyakarta;3.6;02/12/2021;5
131;4893;Resha Komala Dewi;1;Eastparc Hotel Yogyakarta;5.0;01/12/2021;5
132;2694;Helmy Hadi Hidayat;1;Eastparc Hotel Yogyakarta;5.0;01/12/2021;5
133;1645;Dimas Aditya Nugraha;1;Eastparc Hotel Yogyakarta;5.0;30/11/2021;5
134;5178;Rochmat Hidayat;1;Eastparc Hotel Yogyakarta;5.0;29/11/2021;5
